Date,Distance (miles),Distance (km),Time (hours)
2025-03-14,10.915571111631001,17.566865212792237,5.554166666666666
2025-03-15,14.925204142938872,24.019728035397243,7.529166666666667
2025-03-16,6.028871424053113,9.702503937585638,2.625
2025-03-17,13.638858576391755,21.949560661330306,7.4375
2025-03-18,6.922603985067175,11.140823497328007,3.5375
2025-03-19,10.31890166632595,16.606621207685002,5.683333333333334
2025-03-20,14.744161566663292,23.728368975693904,6.166666666666667
2025-03-22,10.482341473053411,16.869651426243777,4.55
2025-03-23,15.016247281238956,24.1662473995891,6.920833333333333
2025-03-24,16.720271888172764,26.908602360511956,7.229166666666667
2025-03-25,13.563331270827476,21.82801154739349,6.5125
2025-03-26,20.868645310733907,33.584745644376504,8.145833333333334
2025-03-27,7.395608861310879,11.90204916486205,2.9625
2025-03-28,12.896280844272471,20.754500613921458,5.925
2025-03-29,21.088550213582998,33.93864740072766,8.058333333333334
2025-03-30,23.761390194485525,38.24015569559334,9.320833333333333
2025-03-31,15.509945318484274,24.96077539884948,6.3375
2025-04-01,12.858872640976994,20.694298096029915,5.679166666666666
2025-04-02,18.30430907553673,29.45785676762428,10.2875
2025-04-03,9.782465572350585,15.74331314420669,3.725
2025-04-04,18.422067164524467,29.647369570555806,7.804166666666666
2025-04-06,10.579527873826649,17.026057388464178,5.629166666666666
2025-04-07,19.87157501139339,31.980120528835837,8.5875
2025-04-08,25.35262296897579,40.8009902488915,10.1
2025-04-09,12.549812530468131,20.196915297783583,9.195833333333333
2025-04-10,11.727711153793427,18.873874668245914,5.170833333333333
2025-04-11,13.118073055755675,21.111439691549837,5.066666666666666
2025-04-12,10.877287854605576,17.50525443593094,6.979166666666667
2025-04-13,8.10714023376733,13.047145063811115,10.816666666666666
2025-04-14,17.748621385660414,28.56356634079873,8.995833333333334
2025-04-15,22.463681308617797,36.15170087721096,9.945833333333333
2025-04-16,24.286081801141066,39.084562885848364,8.908333333333333
2025-04-17,11.135033707135664,17.920055146241708,4.479166666666667
2025-04-18,29.867354250408884,48.06672788935303,12.766666666666667
